Date,Supply,AddressCount,Uncles,BtcPrice,Price
2015-07-30,0.0,0.0,0.5954314720812184,0.00395106119441207,0.0
2015-07-31,0.001017004443201408,2.088859717457107e-06,0.1954314720812183,0.0037785942375131304,0.0
2015-08-01,0.001795554413021705,3.6287242527619976e-06,0.10558375634517767,0.0036113535520353717,0.0
2015-08-02,0.002588646378014481,4.793665249036149e-06,0.13604060913705585,0.0036583899948259904,0.0
2015-08-03,0.003374805429246397,5.811314854976769e-06,0.16091370558375637,0.003668842537668353,0.0
2015-08-04,0.0041750630150492185,6.574552059432262e-06,0.1685279187817259,0.0038099518660402124,0.0
2015-08-05,0.004948629541475125,7.284228758311888e-06,0.12436548223350255,0.0036740688090895306,0.0
2015-08-06,0.005709463040727503,7.833223940464077e-06,0.14467005076142134,0.003480696766505873,0.0
2015-08-07,0.006480474180320606,1.484965017089685e-05,0.14365482233502538,0.0034754704950846916,2.77
2015-08-08,0.007265698012659971,2.0419942750782424e-05,0.1685279187817259,0.002466800110796955,0.81
2015-08-09,0.008029420591870728,2.4088837382726274e-05,0.14974619289340102,0.002743792496119493,0.74
2015-08-10,0.008811101130095977,3.3127172698646355e-05,0.14670050761421322,0.0027124348675924143,0.68
2015-08-11,0.009598695939909252,5.852824246798026e-05,0.1583756345177665,0.0030103323385996736,1.06
2015-08-12,0.010367832251018338,6.304071506274333e-05,0.17664974619289342,0.0029423908101243335,1.25
2015-08-13,0.011162179955932938,7.035172407384314e-05,0.1918781725888325,0.002717661139013592,1.78
2015-08-14,0.012036293490045313,7.79171454864281e-05,0.21776649746192894,0.002801281481752474,1.8
2015-08-15,0.012837512638934623,8.304556389531311e-05,0.1598984771573604,0.0025660992677993735,1.79
2015-08-16,0.013598881803467577,8.694209067595422e-05,0.1314720812182741,0.002388406039479256,1.37
2015-08-17,0.01438903639081257,9.077166682462553e-05,0.12741116751269035,0.002388406039479256,1.2
2015-08-18,0.015124223817056137,9.457446272050896e-05,0.13401015228426397,0.0018448738116765354,1.27
2015-08-19,0.0158908618204201,9.839064874278631e-05,0.11928934010152284,0.0007630356274922791,1.26
2015-08-20,0.01648257437460421,0.00010133647654945657,0.06649746192893402,0.0012177212411349364,1.48
2015-08-21,0.01723260236355406,0.00010531334408846139,0.10761421319796954,0.0010975169984477982,1.44
2015-08-22,0.018006783587844133,0.00010856714480219262,0.1,0.0009459551272335779,1.39
2015-08-23,0.01874457908930882,0.00011324029891368316,0.0984771573604061,0.0008048457988617183,1.35
2015-08-24,0.019512657241953058,0.00011561035128541331,0.12741116751269035,0.0,1.24
2015-08-25,0.02026395414292148,0.00011895788288390224,0.10609137055837564,0.0004755906993273787,1.17
2015-08-26,0.02099844344801971,0.00012175641930023897,0.08984771573604061,0.0007107729132804792,1.16
2015-08-27,0.021687827102028212,0.00012456834584296966,0.07106598984771573,0.0005905686705933375,1.13
2015-08-28,0.022368565469655266,0.0001269651784674877,0.06649746192893402,0.0010557068270783572,1.3
2015-08-29,0.023001528641184876,0.00012867911464591408,0.05380710659898477,0.000893692413021778,1.18
2015-08-30,0.023604384789496002,0.0001313839201774931,0.026903553299492386,0.0008884661416005985,1.32
2015-08-31,0.024202740471305884,0.00013340582926298043,0.028426395939086302,0.0009459551272335779,1.35
2015-09-01,0.024774387530943187,0.0001358294421402864,0.02284263959390863,0.0008257508845464379,1.35
2015-09-02,0.025291080601576255,0.00013785135122577368,0.00456852791878172,0.0008989186844429575,1.29
2015-09-03,0.025779493179785007,0.0001398063096792912,0.0,0.000773488170334638,1.26
2015-09-04,0.026428104802641794,0.0001417478780064148,0.05380710659898477,0.0009877652986030189,1.27
2015-09-05,0.027148293601014117,0.00014394385873502355,0.07512690355329948,0.0011654585269231365,1.37
2015-09-06,0.02788363470172328,0.00014563101466066194,0.11116751269035532,0.0014894873550362966,1.3
2015-09-07,0.028599085935846702,0.0001486705733520899,0.1101522842639594,0.0014738085407727565,1.24
2015-09-08,0.02932667745277584,0.00015034433915133433,0.11269035532994925,0.0016619543119352365,1.23
2015-09-09,0.030069307113867794,0.00015270100139667055,0.11116751269035532,0.0013588305695067977,1.21
2015-09-10,0.030812402189056343,0.00015406679428885402,0.1304568527918782,0.0013954144694550558,1.16
2015-09-11,0.03157785470368335,0.0001565573577981298,0.14467005076142134,0.0014894873550362966,0.98
2015-09-12,0.03231973794594101,0.00015851231625164732,0.10812182741116752,0.0012647576839255568,1.04
2015-09-13,0.0330551668606307,0.00016131085266798406,0.11522842639593908,0.0009825390271818377,0.94
2015-09-14,0.033774205295858284,0.0001634131025118351,0.11878172588832489,0.0009668602129182975,0.87
2015-09-15,0.03449400771271627,0.00016571620425159548,0.12791878172588833,0.0009459551272335779,0.94
2015-09-16,0.035233559493791144,0.00016756404169396134,0.14517766497461929,0.0008989186844429575,0.9
2015-09-17,0.03594831260676923,0.0001689967852181146,0.12487309644670053,0.0011131958127113366,0.89
2015-09-18,0.036676163174941045,0.00017131327708426895,0.14060913705583758,0.0010870644556054375,0.85
2015-09-19,0.037439925270443375,0.00017274602060842216,0.18477157360406093,0.001029575469972458,0.89
2015-09-20,0.038226251168237635,0.00017440639628127269,0.133502538071066,0.001029575469972458,0.94
2015-09-21,0.03897518148243151,0.0001761872830916688,0.1086294416243655,0.0007787144417558192,0.9
2015-09-22,0.03971619975698104,0.0001779681699020649,0.08730964467005076,0.0009720864843394787,0.9
2015-09-23,0.04047716936790291,0.00018000346911394615,0.10558375634517767,0.0009668602129182975,0.9
