"Date(UTC)","BlockNumber","UnixTimeStamp","Value","ClientVersion"
"1/23/2019","7111289","1548202180","180427595683","1.8.21"
"1/24/2019","7116274","1548288519","180427599016","1.8.21"
"1/25/2019","7121375","1548374948","181437999437","1.8.21"
"1/26/2019","7126462","1548461373","181438824915","1.8.21"
"1/27/2019","7131517","1548547768","181439384907","1.8.21"
"1/28/2019","7136539","1548634184","183677147160","1.8.21"
"1/29/2019","7141416","1548720584","183677207220","1.8.21"
"1/30/2019","7146292","1548806992","183677207286","1.8.21"
"1/31/2019","7151230","1548893366","183677212456","1.8.21"
"2/1/2019","7156164","1548979719","184726421279","1.8.21"
"2/2/2019","7161012","1549066185","184726654448","1.8.21"
"2/3/2019","7165949","1549152555","184726769049","1.8.21"
"2/4/2019","7170805","1549238960","186974874323","1.8.21"
"2/5/2019","7175752","1549325378","186974913559","1.8.21"
"2/6/2019","7180654","1549411752","186974923662","1.8.21"
"2/7/2019","7185533","1549498147","186974939161","1.8.21"
"2/8/2019","7190465","1549584594","186974941698","1.8.21"
"2/9/2019","7195382","1549670996","188036647969","1.8.21"
"2/10/2019","7200281","1549757369","188036745122","1.8.21"
"2/11/2019","7204582","1549843745","189825908951","1.8.21"
"2/12/2019","7208771","1549930175","189825138765","1.8.21"
"2/13/2019","7213043","1550016550","191029008588","1.8.21"
"2/14/2019","7217203","1550102982","191029044688","1.8.21"
"2/15/2019","7221377","1550189370","191029043090","1.8.21"
"2/16/2019","7225536","1550275778","191029045208","1.8.21"
"2/17/2019","7229750","1550362124","193165253566","1.8.21"
"2/18/2019","7233897","1550448577","193137877427","1.8.21"
"2/19/2019","7238097","1550534972","193137884219","1.8.21"
"2/20/2019","7242392","1550621383","193137888523","1.8.21"
"2/21/2019","7246851","1550712635","193137897277","1.8.21"
"2/22/2019","7250875","1550794176","194181810792","1.8.21"
"2/23/2019","7255115","1550880560","194182026829","1.8.21"
"2/24/2019","7259664","1550971156","196325633666","1.8.21"
"2/25/2019","7263727","1551053376","196296727498","1.8.21"
"2/26/2019","7267963","1551139772","197073035945","1.8.23"
"2/27/2019","7272243","1551226152","197073058856","1.8.23"
"2/28/2019","7276521","1551312590","197073145113","1.8.23"
"3/1/2019","7280899","1551398986","199088465575","1.8.23"
"3/2/2019","7286903","1551485381","199088849691","1.8.23"
"3/3/2019","7293291","1551571786","199088921951","1.8.23"
"3/4/2019","7299681","1551658184","200602638891","1.8.23"
"3/5/2019","7306064","1551744566","200602638891","1.8.23"
"3/6/2019","7312491","1551831000","201871904592","1.8.23"
"3/7/2019","7318905","1551917380","201604491690","1.8.23"
"3/8/2019","7325328","1552003781","201604184405","1.8.23"
"3/9/2019","7331716","1552090167","201604387267","1.8.23"
"3/10/2019","7338104","1552176592","201604387179","1.8.23"
"3/11/2019","7344613","1552262988","202699256432","1.8.23"
"3/12/2019","7351004","1552349395","204419948682","1.8.23"
"3/13/2019","7357449","1552435793","204419964105","1.8.23"
"3/14/2019","7363848","1552522168","204419956246","1.8.23"
"3/15/2019","7370286","1552608578","205517397610","1.8.23"
"3/16/2019","7376696","1552694999","205483456360","1.8.23"
"3/17/2019","7383215","1552781368","205484241813","1.8.23"
"3/18/2019","7389628","1552867792","207718119347","1.8.23"
"3/19/2019","7395988","1552954183","207718117044","1.8.23"
"3/20/2019","7402401","1553040584","207718117375","1.8.23"
"3/21/2019","7408881","1553126987","208764924658","1.8.23"
"3/22/2019","7415252","1553213386","208765329224","1.8.23"
"3/23/2019","7421669","1553299793","208765551736","1.8.23"
"3/24/2019","7428093","1553386183","208765784555","1.8.23"
"3/25/2019","7434528","1553472577","211490311579","1.8.23"
"3/26/2019","7440955","1553558995","211490591527","1.8.23"
"3/27/2019","7447300","1553645377","211490608555","1.8.23"
"3/28/2019","7453766","1553731800","212543508075","1.8.23"
"3/29/2019","7460155","1553818200","212543988885","1.8.23"
"3/30/2019","7466508","1553904567","212544453342","1.8.23"
"3/31/2019","7472888","1553990973","212544451994","1.8.23"
"4/1/2019","7479301","1554077379","213593630445","1.8.23"
"4/2/2019","7485716","1554163786","215289058604","1.8.23"
"4/3/2019","7492076","1554250200","215288693622","1.8.23"
"4/4/2019","7498412","1554336567","216778310694","1.8.23"
"4/5/2019","7504810","1554422979","216778339151","1.8.23"
"4/6/2019","7511241","1554509381","216778339151","1.8.23"
"4/7/2019","7517709","1554595797","217883131786","1.8.23"
"4/8/2019","7524167","1554682172","219620027227","1.8.23"
"4/9/2019","7530612","1554768574","219619507768","1.8.23"
"4/10/2019","7537034","1554854943","219619521067","1.8.23"
"4/11/2019","7543494","1554941392","220680034956","1.8.23"
"4/12/2019","7549877","1555027713","220680254789","1.8.23"
"4/13/2019","7556312","1555114178","220680443061","1.8.23"
"4/14/2019","7562793","1555200560","220680545054","1.8.23"
"4/15/2019","7569206","1555286987","223675883406","1.8.23"
"4/16/2019","7575652","1555373396","223675864883","1.8.23"
"4/17/2019","7582053","1555459780","223676082796","1.8.23"
"4/18/2019","7588436","1555546161","224723936536","1.8.23"
"4/19/2019","7594860","1555632599","224724371255","1.8.23"
"4/20/2019","7601290","1555718982","224724568620","1.8.23"
"4/21/2019","7607662","1555805362","224724704671","1.8.23"
"4/22/2019","7614122","1555891768","227788291919","1.8.23"
"4/23/2019","7620549","1555978178","227788291919","1.8.23"
"4/24/2019","7626867","1556064605","229824047924","1.8.27"
"4/25/2019","7633247","1556150990","229824047924","1.8.27"
"4/26/2019","7639719","1556237397","229824047924","1.8.27"
"4/27/2019","7646173","1556323776","229824047924","1.8.27"
"4/28/2019","7652636","1556410169","230801511537","1.8.27"
"4/29/2019","7659025","1556496577","232390568996","1.8.27"
"4/30/2019","7665482","1556582976","232390594495","1.8.27"
"5/1/2019","7671906","1556669402","232390620801","1.8.27"
"5/2/2019","7678364","1556755787","233451815372","1.8.27"
"5/3/2019","7684789","1556842158","235086863704","1.8.27"
"5/4/2019","7691138","1556928600","235086956734","1.8.27"
"5/5/2019","7697828","1557017199","235086960130","1.8.27"
"5/6/2019","7704050","1557101377","236914119633","1.8.27"
"5/7/2019","7710407","1557187762","236914122106","1.8.27"
"5/8/2019","7716799","1557274171","236914140814","1.8.27"
"5/9/2019","7723149","1557360601","237961489706","1.8.27"
"5/10/2019","7729500","1557446928","237962289953","1.8.27"
"5/11/2019","7735940","1557533399","237962293984","1.8.27"
"5/12/2019","7742340","1557619797","239017171106","1.8.27"
"5/13/2019","7748797","1557706190","241126996091","1.8.27"
"5/14/2019","7755243","1557793831","241127182777","1.8.27"
"5/15/2019","7761626","1557878947","241127212781","1.8.27"
"5/16/2019","7768084","1557965359","242188915214","1.8.27"
